Gene,Module
VWA5B1,blue
C4BPA,green
MPDZ,turquoise
ATP1B2,blue
MAGI1,turquoise
PAK4,blue
MYRFL,turquoise
LAMA5,blue
SEMA6C,blue
C1orf226,turquoise
SLC7A5,brown
TMEM158,brown
PDZD7,turquoise
SYCP2L,grey
RAB3B,turquoise
ESPN,blue
FGF13,turquoise
DUSP8,blue
LOC729737,blue
KIF18B,blue
VSIG10L,blue
CLRN1,green
KIR3DL1,grey
CPNE4,turquoise
CTNND2,turquoise
ABCA13,salmon
COLCA2,grey
MYOZ3,blue
CDHR5,blue
DLGAP2,turquoise
EGR1,blue
SEMA6B,blue
SHANK2,turquoise
OLFML2A,blue
KIF26A,blue
RPS6KA6,turquoise
LOC100996291,blue
SLC7A8,blue
LOC728989,grey
BMP2,turquoise
CACNG8,greenyellow
CRB2,blue
CD248,blue
MIR3945,grey
ARHGAP39,blue
HBQ1,magenta
LOC100288162,blue
VCAM1,grey
KRT1,brown
LINC01002,blue
GSG1L,turquoise
AKR1C2,turquoise
LTF,salmon
ADGRB3,turquoise
CRMP1,blue
PAX8,blue
ANKRD30B,turquoise
CFAP57,turquoise
CEACAM8,salmon
ADAM11,blue
GLDC,turquoise
SMG1P5,magenta
RHOXF1P1,greenyellow
EBF4,blue
PAK6,blue
ALOX15,greenyellow
LINC01061,blue
TREML5P,pink
ANTXR1,turquoise
MUC6,blue
GATA2,salmon
AK8,blue
TRIM40,grey
ALAS2,brown
ADAMTS3,turquoise
NPIPB15,turquoise
IQSEC3,blue
KIR2DL1,turquoise
AEBP1,blue
GCOM1,turquoise
TSPEAR-AS1,grey
DBH-AS1,blue
TMEM184A,blue
LOC101928841,blue
IL17REL,blue
ETV1,turquoise
GDAP1L1,blue
NRCAM,purple
RAPGEF4,turquoise
FAP,turquoise
EFR3B,turquoise
MARK1,turquoise
CDK15,grey
CTNNA3,turquoise
RORB,turquoise
KIAA1456,turquoise
SPDYC,blue
SP2,blue
GUCY2D,blue
ACKR1,brown
KISS1R,blue
B4GALNT4,turquoise
MYEOV,red
FAM169B,blue
MYBPC2,blue
ANOS1,turquoise
ZNF865,blue
SLC5A4,blue
GPRIN1,blue
MYL4,brown
SCN11A,turquoise
CACNA1B,turquoise
NEBL,turquoise
GPNMB,grey
TSPEAR,blue
ADGRG4,turquoise
ANKRD24,blue
HEY1,turquoise
ATP6V0C,brown
KIF1A,turquoise
MAST1,blue
PACSIN1,blue
PTPN21,turquoise
LOC100133331,blue
NPTXR,blue
NXPH3,blue
CNGB1,turquoise
MUC12,turquoise
SOAT2,blue
RGMB-AS1,grey
LINC01140,turquoise
SEC14L5,red
GLI3,turquoise
CERS3,turquoise
SLC2A4,blue
NOTCH3,turquoise
ATOH8,blue
LOC283177,blue
C1orf233,blue
CELF2-AS2,turquoise
RBM20,blue
MIPOL1,turquoise
DES,turquoise
AZU1,turquoise
LRFN2,turquoise
SPATC1L,blue
MYO3A,turquoise
COL9A1,turquoise
SPAG6,grey
SGCD,turquoise
FBN3,turquoise
CHSY3,turquoise
SEC1P,turquoise
LDB3,blue
LOC613037,yellow
DEFA4,salmon
RIMBP2,turquoise
KCNK10,turquoise
NUTM2B,blue
CHMP1B2P,turquoise
RUNDC3A-AS1,blue
NETO1,grey
CAMP,salmon
CTSG,salmon
AFAP1L1,turquoise
CLEC4G,turquoise
C15orf43,grey
LONRF2,turquoise
LINC00664,grey
SOX2-OT,turquoise
LAMA4,turquoise
SPATA3-AS1,turquoise
OR2L13,grey
SLC9A3,blue
RASGRF1,turquoise
MPPED2,turquoise
ADGRB1,blue
ZNF385D,blue
VWA2,turquoise
GRIN3B,blue
KNDC1,blue
KCNMA1,turquoise
PROM1,turquoise
ATP1A3,blue
GCSAML,salmon
SDC3,blue
SRGAP1,turquoise
LOC102725079,grey
OTOF,blue
SLC18A1,turquoise
CAMSAP3,blue
SHROOM3,turquoise
IL5,grey
VSTM4,turquoise
MT1E,tan
DNAH2,turquoise
PLEKHH2,turquoise
DAGLA,blue
SEMA3B,blue
TMTC1,grey
ESPL1,blue
AICDA,turquoise
CRHR2,blue
HBM,brown
SERPINB10,salmon
SLC6A20,turquoise
HSPB1,magenta
LGALS9C,blue
AXDND1,turquoise
CCDC163P,blue
ATRNL1,turquoise
CNGB3,turquoise
LIPC,grey
CACNA1G,turquoise
DNAJC5B,grey
TFCP2L1,turquoise
RNU12,cyan
OLR1,salmon
PTGER3,turquoise
ABCB5,blue
CHST13,blue
L1TD1,grey
ANO2,turquoise
LOC728084,salmon
MYO18B,turquoise
AMN,turquoise
SORCS3,purple
LPAR4,turquoise
PCDH15,turquoise
ACSS3,turquoise
KCNQ3,turquoise
PLEKHA6,turquoise
CGN,blue
ICAM5,blue
GPM6A,grey
MYOCD,turquoise
DAB2IP,blue
MIR3161,blue
MPP2,turquoise
SLC12A8,turquoise
LRRC7,turquoise
COLEC12,turquoise
IFI27,brown
TMEM63C,blue
FLNC,turquoise
FAM106A,grey
AHRR,blue
DRC1,turquoise
MIR326,blue
PROX1,turquoise
WFIKKN1,blue
C5orf17,grey
KLHL34,purple
PPDPF,magenta
SH3RF2,grey
SDK2,blue
LOC643355,turquoise
GABRA4,turquoise
LOC101929297,grey
C3orf22,blue
MTRNR2L4,turquoise
PRR22,blue
LINC00689,turquoise
GPRC5B,blue
MIR6723,blue
COL4A1,blue
FSD1,turquoise
CCDC175,grey
FREM3,grey
MS4A3,salmon
COL13A1,grey
LINC00607,turquoise
SAXO2,grey
CELF4,turquoise
CPLX2,blue
ZNF703,blue
DMD,turquoise
CA12,blue
LOC100287072,turquoise
LIMCH1,turquoise
IGSF10,turquoise
LRFN3,blue
TACSTD2,turquoise
ATP8B3,blue
YBX3P1,brown
SNORD17,cyan
CYP2A6,blue
CCDC64B,blue
EDNRB,turquoise
NRXN1,turquoise
ACE,blue
MYBPH,blue
SPRED3,blue
C1orf95,blue
KCNC1,blue
ZNF503,turquoise
BMP3,grey
SLC8A3,red
MICALL2,blue
TNNC2,turquoise
FMN1,grey
GRIN2D,blue
MAATS1,turquoise
DMTN,brown
SYN1,blue
ACVR2B-AS1,turquoise
CEACAM19,blue
LINC00202-1,turquoise
ITGB4,blue
ZNRF2P1,turquoise
MUC20,blue
SYT1,turquoise
ITGB3,red
SHISA4,brown
CACNG6,greenyellow
ZNF704,turquoise
MYLK3,turquoise
NFIB,turquoise
OCLN,turquoise
OR2W3,brown
SCN3B,turquoise
CDH24,blue
ANKRD20A11P,grey
PTPRG,turquoise
LKAAEAR1,blue
TNNT1,grey
LMTK3,blue
USP17L7,grey
DKFZP434H168,blue
SGIP1,blue
ARSJ,turquoise
CXorf36,turquoise
LINC00032,turquoise
TBX1,blue
